iter	RMSE
231	4.617985654
232	4.614016473
233	4.6097987
234	4.608402177
235	4.602616943
236	4.598241753
237	4.593946739
238	4.591729782
239	4.589504484
240	4.586554882
241	4.583106623
242	4.581052068
243	4.576398559
244	4.570906066
245	4.567677819
246	4.564786542
247	4.55632482
248	4.552302961
249	4.545142462
250	4.541482531
251	4.5363673
252	4.535116918
253	4.530797053
254	4.523351512
255	4.52109812
256	4.518213848
257	4.51302318
258	4.505221316
259	4.500876153
260	4.499326076
261	4.496682701
262	4.492756677
263	4.48495251
264	4.481630525
265	4.478896574
266	4.471158937
267	4.466678367
268	4.459636684
269	4.453901609
270	4.450282307
271	4.447478362
272	4.445095754
273	4.443316944
274	4.436981837
275	4.436085042
276	4.430626457
277	4.426023752
278	4.421503185
279	4.416196099
280	4.415467614
281	4.412753425
282	4.408419124
283	4.403901911
284	4.399195111
285	4.395969457
286	4.392110343
287	4.384931549
288	4.381402244
289	4.380458854
290	4.378054916
291	4.373130313
292	4.36836939
293	4.364862603
294	4.364417347
295	4.362776601
296	4.360338723
297	4.356329607
298	4.349476135
299	4.347337873
300	4.345296852
301	4.34171411
302	4.338824471
303	4.332433465
304	4.328431256
305	4.325111193
306	4.321317294
307	4.319916284
308	4.315657749
309	4.312278098
310	4.311890048
311	4.310023373
312	4.309173089
313	4.302338226
314	4.298957178
315	4.297587581
316	4.292549435
317	4.289323798
318	4.286209704
319	4.280464562
320	4.274759316
321	4.268445541
322	4.267140863
323	4.264270088
324	4.258979042
325	4.255480451
326	4.248402072
327	4.2466542
328	4.239894202
329	4.233880339
330	4.229302385
331	4.223159594
332	4.221166281
333	4.216255838
334	4.210384324
335	4.205857572
336	4.201322053
337	4.195171918
338	4.191784367
339	4.188068946
340	4.184784615
341	4.179877728
342	4.175579348
343	4.172440629
344	4.169631253
345	4.168247045
346	4.164193761
347	4.161689536
348	4.15952983
349	4.15670271
350	4.155244414
351	4.152229271
352	4.15058533
353	4.147694045
354	4.142830025
355	4.140368945
356	4.137281621
357	4.134491932
358	4.130942205
359	4.128528146
360	4.12562321
361	4.12151222
362	4.116268029
363	4.11437076
364	4.108792214
365	4.10550485
366	4.102798592
367	4.101372878
368	4.097912088
369	4.09531187
370	4.094660647
371	4.092930198
372	4.090428528
373	4.085760776
374	4.082662464
375	4.080418058
376	4.075863853
377	4.07554385
378	4.072269933
379	4.068894866
380	4.066765896
381	4.064183195
382	4.061012483
383	4.058462874
384	4.055887138
385	4.053465692
386	4.050042499
387	4.044952244
388	4.040510623
389	4.038012221
390	4.03548368
391	4.031654283
392	4.028417691
393	4.025002632
394	4.019353107
395	4.016463772
396	4.011915821
397	4.008471561
398	4.00658715
399	4.004739309
400	4.00211568
401	4.000147002
402	3.998582389
403	3.995782832
404	3.991877209
405	3.991109984
406	3.988879434
407	3.985869945
408	3.982537378
409	3.979938891
410	3.975077661
411	3.96987927
412	3.965545843
413	3.960984161
414	3.956886654
415	3.95525769
416	3.954761628
417	3.952666095
418	3.948424912
419	3.945837813
420	3.943550107
421	3.940143487
422	3.93966346
423	3.936163417
424	3.933981709
425	3.933560364
426	3.930774453
427	3.927398272
428	3.922467189
429	3.920289001
430	3.919167763
431	3.915608519
432	3.911916579
433	3.90904619
434	3.905829803
435	3.901660756
436	3.899448443
437	3.897550076
438	3.895940924
439	3.894038511
440	3.890033276
441	3.887980105
442	3.886468453
443	3.884026857
444	3.883550123
445	3.882941035
446	3.882509043
447	3.880760707
448	3.879349219
449	3.875928398
450	3.872894958
451	3.87230606
452	3.870069279
453	3.867031678
454	3.864257479
455	3.86368422
456	3.860765822
457	3.857360877
458	3.853580195
459	3.850130012
460	3.846666705
461	3.843750256
462	3.843444541
463	3.841157978
464	3.837066442
465	3.833738822
466	3.833174288
467	3.831352696
468	3.83022694
469	3.824834768
470	3.823715391
471	3.818829446
472	3.813715001
473	3.811051127
474	3.806847076
475	3.806321493
476	3.804740599
477	3.804518437
478	3.802587877
479	3.800720101
480	3.795653637
481	3.792465244
482	3.788163879
483	3.786040529
484	3.783134819
485	3.782148516
486	3.780252347
487	3.77783261
488	3.774377038
489	3.773387726
490	3.769908766
491	3.765396383
492	3.763299678
493	3.759728174
494	3.757305155
495	3.754642094
496	3.751059959
497	3.750877558
498	3.750572203
499	3.746639097
500	3.744783355
501	3.739148777
502	3.738960842
503	3.737166706
504	3.733015814
505	3.730767051
506	3.728947749
507	3.726209039
508	3.723364385
509	3.721086022
510	3.717365462
511	3.712934549
512	3.710590653
513	3.706986362
514	3.703309569
515	3.702858134
516	3.701595353
517	3.697481045
518	3.695334447
519	3.690965149
520	3.688602613
521	3.685505159
522	3.683856965
523	3.682171211
524	3.681896279
525	3.680350749
526	3.679036314
527	3.674994624
528	3.673367889
529	3.669280817
530	3.667442284
531	3.66427247
532	3.662725289
533	3.660428317
534	3.657353154
535	3.657100191
536	3.654539806
537	3.65198004
538	3.650388193
539	3.647325167
540	3.644474311
541	3.64046132
542	3.637769213
543	3.637304745
544	3.635715235
545	3.635541726
546	3.633230591
547	3.630506147
548	3.628618817
549	3.624896757
550	3.622303996
551	3.620054916
552	3.617550997
553	3.61584415
554	3.614089972
555	3.612335431
556	3.609620428
557	3.607344694
558	3.605725208
559	3.603004137
560	3.602673797
561	3.602434157
562	3.600624689
563	3.597963823
564	3.595425524
565	3.593474696
566	3.591398913
567	3.589711348
568	3.588295652
569	3.584680663
570	3.582637362
571	3.580304458
572	3.577639132
573	3.577331779
574	3.573803769
575	3.570975005
576	3.570709407
577	3.568790422
578	3.564884234
579	3.562124404
580	3.559853838
581	3.556955121
582	3.551856873
583	3.549005413
584	3.547494988
585	3.547158109
586	3.545812989
587	3.541890275
588	3.540291721
589	3.538017447
590	3.534530364
591	3.531877347
592	3.530089547
593	3.527852937
594	3.524273795
595	3.522380329
596	3.520020553
597	3.518074774
598	3.514053482
599	3.512493947
600	3.510763405
601	3.510169854
602	3.507583668
603	3.504365524
604	3.501813421
605	3.50027975
606	3.499864352
607	3.499011276
608	3.496810622
609	3.494901036
610	3.49234485
611	3.488126791
612	3.48695586
613	3.480375806
614	3.478546232
615	3.476680165
616	3.474633657
617	3.4721438
618	3.4705176
619	3.467323668
620	3.465046203
621	3.462524838
622	3.460353187
623	3.457817538
624	3.45448157
625	3.451858651
626	3.451582017
627	3.449307537
628	3.446004386
629	3.443541472
630	3.441136902
631	3.437050871
632	3.433125194
633	3.430730105
634	3.428419775
635	3.424257182
636	3.42240831
637	3.420146586
638	3.419160556
639	3.41688812
640	3.414819528
641	3.41354962
642	3.413359884
643	3.413120696
644	3.411310757
645	3.409334137
646	3.407866151
647	3.406462154
648	3.40325727
649	3.398980291
650	3.395000763
651	3.394450054
652	3.391531565
653	3.389863309
654	3.387682364
655	3.385503613
656	3.38263884
657	3.381133395
658	3.377081916
659	3.376928953
660	3.37622615
661	3.372996789
662	3.371581998
663	3.368610958
664	3.365471707
665	3.361888735
666	3.359578015
667	3.356785813
668	3.353308171
669	3.351114476
670	3.349479736
671	3.34915248
672	3.349049672
673	3.345805422
674	3.344390545
675	3.34286865
676	3.341221448
677	3.340971975
678	3.340829303
679	3.33574159
680	3.333216355
681	3.331183825
682	3.329514731
683	3.328979622
684	3.328853262
685	3.327015595
686	3.323008366
687	3.322616355
688	3.322487465
689	3.322082483
690	3.321919454
691	3.321356911
692	3.31864564
693	3.31306857
694	3.310001046
695	3.307044346
696	3.304048062
697	3.301655194
698	3.297346598
699	3.295929753
700	3.293339149
701	3.290588898
702	3.288754339
703	3.287759459
704	3.285378697
705	3.284480009
706	3.282983617
707	3.282036219
708	3.277926037
709	3.274898673
710	3.273562202
711	3.272669233
712	3.27081105
713	3.269839748
714	3.268644756
715	3.266811672
716	3.265316104
717	3.263152682
718	3.260895942
719	3.259339559
720	3.257355681
721	3.255240488
722	3.25330565
723	3.250765576
724	3.249586344
725	3.249337706
726	3.249094222
727	3.246525958
728	3.242964518
729	3.242475518
730	3.239759339
731	3.237381431
732	3.237245705
733	3.236244966
734	3.235595377
735	3.233523496
736	3.232574877
737	3.232359968
738	3.230648601
739	3.228620429
740	3.225147264
741	3.224942911
742	3.224069199
743	3.223631667
744	3.221400744
745	3.218982206
746	3.2164541
747	3.215213098
748	3.214034713
749	3.21254885
750	3.212101075
751	3.20994321
752	3.209569752
753	3.20944439
754	3.208429365
755	3.206241506
756	3.201215595
757	3.200114337
758	3.198766848
759	3.198228766
760	3.197338024
761	3.194511445
762	3.192433176
763	3.191201363
764	3.189568615
765	3.189137712
766	3.187581512
767	3.186342914
768	3.185339417
769	3.185181837
770	3.185061863
771	3.182294612
772	3.179613118
773	3.178231875
774	3.176608389
775	3.174417208
776	3.174260631
777	3.172655474
778	3.171263052
779	3.170177073
780	3.168046179
781	3.167908149
782	3.167713337
783	3.166283082
784	3.164564149
785	3.161138038
786	3.159522616
787	3.158119487
788	3.156776308
789	3.155473741
790	3.153335519
791	3.150964774
792	3.149495894
793	3.147741769
794	3.147603553
795	3.146521759
796	3.145264084
797	3.14475251
798	3.142784464
799	3.140178882
800	3.138248083
801	3.136805863
802	3.133253734
803	3.133086086
804	3.132738983
805	3.130644831
806	3.129329736
807	3.128151328
808	3.126422701
809	3.124652703
810	3.124320279
811	3.122953632
812	3.120039577
813	3.118662162
814	3.117497612
815	3.116364507
816	3.115248341
817	3.112314631
818	3.112242864
819	3.109665512
820	3.108101765
821	3.107999988
822	3.106568095
823	3.106326044
824	3.105215848
825	3.103658896
826	3.101721843
827	3.100202244
828	3.099595122
829	3.09748467
830	3.094452177
831	3.092627732
832	3.090882747
833	3.090547206
834	3.088609177
835	3.088397505
836	3.085640376
837	3.08465562
838	3.083318709
839	3.081310335
840	3.080821162
841	3.078473444
842	3.077352132
843	3.077258297
844	3.075387584
845	3.074420737
846	3.07330636
847	3.072032627
848	3.070726649
849	3.069209307
850	3.067805452
851	3.06639544
852	3.065655057
853	3.063741531
854	3.061270741
855	3.061151978
856	3.060559575
857	3.059689617
858	3.059400659
859	3.056474869
860	3.055747846
861	3.053487819
862	3.053381061
863	3.051743711
864	3.049019576
865	3.04648997
866	3.045301109
867	3.044597488
868	3.043709035
869	3.042445903
870	3.041454843
871	3.040900276
872	3.040305791
873	3.037677484
874	3.036728939
875	3.036661325
876	3.034474216
877	3.033975911
878	3.032673436
879	3.031308462
880	3.029734228
881	3.026946278
882	3.024925924
883	3.022575094
884	3.020054385
885	3.017528516
886	3.016773998
887	3.015275295
888	3.012675164
889	3.011196485
890	3.010301027
891	3.009207761
892	3.007276239
893	3.004962544
894	3.004755496
895	3.002185369
896	3.000978418
897	3.000043647
898	2.999915073
899	2.999571243
900	2.997136952
901	2.995853481
902	2.994750217
903	2.992328746
904	2.988852814
905	2.988096962
906	2.986053123
907	2.982675055
908	2.981567134
909	2.981135626
910	2.980239317
911	2.979140266
912	2.977531995
913	2.974883582
914	2.973965595
915	2.973847193
916	2.970643904
917	2.96808816
918	2.96641913
919	2.964914294
920	2.96313344
921	2.962096129
922	2.959725545
923	2.958199622
924	2.957350317
925	2.956510843
926	2.954912616
927	2.954876818
928	2.954213571
929	2.952837519
930	2.952206888
931	2.952046468
932	2.951858443
933	2.95171987
934	2.951650045
935	2.949557861
936	2.947957244
937	2.947097976
938	2.946478257
939	2.945719044
940	2.945286835
941	2.942741354
942	2.940236183
943	2.938882775
944	2.936747916
945	2.935424163
946	2.934200515
947	2.931281816
948	2.930064421
949	2.927784836
950	2.924447659
951	2.921390456
952	2.920783902
953	2.918463916
954	2.917609483
955	2.91397154
956	2.912507344
957	2.911902585
958	2.909103442
959	2.907131255
960	2.904069605
961	2.903963517
962	2.901050376
963	2.897246358
964	2.895682672
965	2.8934946
966	2.893315484
967	2.891058361
968	2.889805966
969	2.889405393
970	2.887831989
971	2.88691203
972	2.884834055
973	2.883447724
974	2.882668581
975	2.879737029
976	2.87842878
977	2.876913542
978	2.874945341
979	2.873480806
980	2.872554492
981	2.870668118
982	2.869227461
983	2.869046004
984	2.867802383
985	2.866891319
986	2.865959317
987	2.864379228
988	2.86283177
989	2.862705347
990	2.861720911
991	2.861557944
992	2.856908957
993	2.855720929
994	2.854957318
995	2.853548064
996	2.852805173
997	2.850701763
998	2.849365121
999	2.84922267
